onehot__Shift_AM,onehot__Shift_PM,onehot__Age_Adult,onehot__Age_Juvenile,onehot__Age_Unknown,onehot__Primary Fur Color_Black,onehot__Primary Fur Color_Cinnamon,onehot__Primary Fur Color_Gray,onehot__Primary Fur Color_Unknown,onehot__Location_Above Ground,onehot__Location_Ground Plane,onehot__Location_Unknown,onehot__Highlight Fur Color_Black,"onehot__Highlight Fur Color_Black, Cinnamon","onehot__Highlight Fur Color_Black, Cinnamon, White","onehot__Highlight Fur Color_Black, White",onehot__Highlight Fur Color_Cinnamon,"onehot__Highlight Fur Color_Cinnamon, White",onehot__Highlight Fur Color_Gray,"onehot__Highlight Fur Color_Gray, Black","onehot__Highlight Fur Color_Gray, White",onehot__Highlight Fur Color_Unknown,onehot__Highlight Fur Color_White,boolean__Running,boolean__Chasing,boolean__Climbing,boolean__Eating,boolean__Foraging,boolean__Kuks,boolean__Quaas,boolean__Moans,boolean__Tail flags,boolean__Tail twitches,boolean__Indifferent,boolean__Runs from,target
1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.8068066483578882,-0.32187833029920276,-0.5343093143312965,-0.581489033776973,1.0756405887572207,-0.18970956017989812,-0.13455579942126142,-0.028771766882421803,-0.23446496964265004,-0.4148246567886083,-0.9682458365518544,-0.541977829710101,True
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.8068066483578882,-0.32187833029920276,-0.5343093143312965,1.7197228871276435,1.0756405887572207,-0.18970956017989812,-0.13455579942126142,-0.028771766882421803,-0.23446496964265004,-0.4148246567886083,-0.9682458365518544,1.8450939230021473,False
0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.5534626524143288,-0.32187833029920276,-0.5343093143312965,-0.581489033776973,1.0756405887572207,-0.18970956017989812,-0.13455579942126142,-0.028771766882421803,-0.23446496964265004,-0.4148246567886083,-0.9682458365518544,-0.541977829710101,False
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.8068066483578882,-0.32187833029920276,1.8715750842777816,-0.581489033776973,-0.929678565918924,-0.18970956017989812,-0.13455579942126142,-0.028771766882421803,-0.23446496964265004,-0.4148246567886083,-0.9682458365518544,-0.541977829710101,False
0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.8068066483578882,3.1067639721830536,-0.5343093143312965,-0.581489033776973,-0.929678565918924,-0.18970956017989812,-0.13455579942126142,-0.028771766882421803,-0.23446496964265004,-0.4148246567886083,-0.9682458365518544,1.8450939230021473,False
0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.5534626524143288,-0.32187833029920276,-0.5343093143312965,-0.581489033776973,1.0756405887572207,-0.18970956017989812,-0.13455579942126142,-0.028771766882421803,-0.23446496964265004,-0.4148246567886083,1.0327955589886446,-0.541977829710101,False
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8068066483578882,-0.32187833029920276,-0.5343093143312965,-0.581489033776973,-0.929678565918924,-0.18970956017989812,-0.13455579942126142,-0.028771766882421803,-0.23446496964265004,-0.4148246567886083,1.0327955589886446,-0.541977829710101,False
1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.5534626524143288,-0.32187833029920276,1.8715750842777816,1.7197228871276435,-0.929678565918924,-0.18970956017989812,-0.13455579942126142,-0.028771766882421803,4.2650294477853485,-0.4148246567886083,-0.9682458365518544,1.8450939230021473,False
0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5534626524143288,-0.32187833029920276,-0.5343093143312965,-0.581489033776973,1.0756405887572207,-0.18970956017989812,-0.13455579942126142,-0.028771766882421803,-0.23446496964265004,2.4106570900138,1.0327955589886446,-0.541977829710101,False
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8068066483578882,-0.32187833029920276,1.8715750842777816,-0.581489033776973,-0.929678565918924,-0.18970956017989812,-0.13455579942126142,-0.028771766882421803,-0.23446496964265004,-0.4148246567886083,-0.9682458365518544,1.8450939230021473,False
